file,label
m-ailabs-speech/fr_FR/female/nadine_eckert_boulet/les_mysteres_de_paris/wavs/les_mysteres_de_paris_3_01_f000205.wav,bona-fide
m-ailabs-speech/fr_FR/male/gilles_g_le_blanc/lupin_contre_holmes/wavs/lupin_contre_holmes_10_f000033.wav,bona-fide
m-ailabs-speech/fr_FR/male/gilles_g_le_blanc/lupin_contre_holmes/wavs/lupin_contre_holmes_11_f000185.wav,bona-fide
m-ailabs-speech/fr_FR/female/nadine_eckert_boulet/les_mysteres_de_paris/wavs/les_mysteres_de_paris_2_14_f000035.wav,bona-fide
m-ailabs-speech/fr_FR/male/zeckou/l_ile_mysterieuse/wavs/l_ile_mysterieuse_1_20_f000038.wav,bona-fide
m-ailabs-speech/fr_FR/male/bernard/le_pays_des_fourrures/wavs/le_pays_des_fourrures_2_10_f000128.wav,bona-fide
m-ailabs-speech/fr_FR/male/zeckou/l_ile_mysterieuse/wavs/l_ile_mysterieuse_3_10_f000046.wav,bona-fide
m-ailabs-speech/fr_FR/female/nadine_eckert_boulet/les_mysteres_de_paris/wavs/les_mysteres_de_paris_2_18_f000110.wav,bona-fide
m-ailabs-speech/fr_FR/female/ezwa/monsieur_lecoq/wavs/monsieur_lecoq_1_33_f000005.wav,bona-fide
m-ailabs-speech/fr_FR/female/ezwa/keraban_le_tetu/wavs/keraban_le_tetu_1_16_f000198.wav,bona-fide
m-ailabs-speech/fr_FR/male/bernard/le_dernier_des_mohicans/wavs/le_dernier_des_mohicans_chapitre_33_f000109.wav,bona-fide
m-ailabs-speech/fr_FR/male/gilles_g_le_blanc/les_miserables_tome_5/wavs/les_miserables_tome_5_49_f000118.wav,bona-fide
m-ailabs-speech/fr_FR/male/gilles_g_le_blanc/les_miserables_tome_5/wavs/les_miserables_tome_5_42_f000081.wav,bona-fide
m-ailabs-speech/fr_FR/male/bernard/le_pays_des_fourrures/wavs/le_pays_des_fourrures_1_11_f000106.wav,bona-fide
m-ailabs-speech/fr_FR/male/zeckou/l_ile_mysterieuse/wavs/l_ile_mysterieuse_3_04_f000006.wav,bona-fide
m-ailabs-speech/fr_FR/male/zeckou/l_ile_mysterieuse/wavs/l_ile_mysterieuse_2_12_f000080.wav,bona-fide
m-ailabs-speech/fr_FR/male/zeckou/l_ile_mysterieuse/wavs/l_ile_mysterieuse_2_03_f000029.wav,bona-fide
m-ailabs-speech/fr_FR/female/nadine_eckert_boulet/les_mysteres_de_paris/wavs/les_mysteres_de_paris_1_19_f000088.wav,bona-fide
m-ailabs-speech/fr_FR/female/ezwa/monsieur_lecoq/wavs/monsieur_lecoq_1_03_f000008.wav,bona-fide
m-ailabs-speech/fr_FR/female/nadine_eckert_boulet/les_mysteres_de_paris/wavs/les_mysteres_de_paris_1_06_f000013.wav,bona-fide
m-ailabs-speech/fr_FR/female/ezwa/monsieur_lecoq/wavs/monsieur_lecoq_2_02_f000113.wav,bona-fide
m-ailabs-speech/fr_FR/female/nadine_eckert_boulet/les_mysteres_de_paris/wavs/les_mysteres_de_paris_2_17_f000132.wav,bona-fide
m-ailabs-speech/fr_FR/female/ezwa/monsieur_lecoq/wavs/monsieur_lecoq_2_45_f000083.wav,bona-fide
m-ailabs-speech/fr_FR/male/gilles_g_le_blanc/les_miserables_tome_5/wavs/les_miserables_tome_5_27_f000015.wav,bona-fide
