file,label
MLAAD/fake/de/tts_models_de_thorsten_vits/Kanzlerin_31_16_f000045.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/caspar_hauser_05_f000148.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/alter_afrikaner_14_f000012.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/menschenhasser_14_f000154.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/toten_seelen_30_f000006.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/toten_seelen_21_f000037.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/grune_gesicht_02_f000083.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/sandmann_4_f000114.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/zweiplaneten_27_lasswitz_f000104.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/untermbirnbaum_14_f000069.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/Kanzlerin_38_13_f000003.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/alter_afrikaner_10_f000079.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/erzaehlungen_36_poe_f000205.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/ferien_vom_ich_009_f000367.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/maerchen_006_f000128.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/weihnachtsabend_03_f000092.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/menschenhasser_15_f000082.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/alter_afrikaner_01_f000153.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/erzaehlungen_21_poe_f000364.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/zweiplaneten_09_lasswitz_f000019.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/spiegel_kaetzchen_02_f000009.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/toten_seelen_17_f000126.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/undine_05_f000033.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/alter_afrikaner_16_f000062.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/alter_afrikaner_11_f000083.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/toten_seelen_33_f000038.wav,spoof
MLAAD/fake/de/tts_models_de_thorsten_vits/sterben_07_f000089.wav,spoof
